region,quarter,year,revenue_target,customer_acquisition_target
North,Q1,2024,850000,45
North,Q2,2024,920000,50
North,Q3,2024,880000,48
North,Q4,2024,1150000,60
South,Q1,2024,780000,40
South,Q2,2024,840000,44
South,Q3,2024,810000,42
South,Q4,2024,1050000,55
East,Q1,2024,900000,48
East,Q2,2024,970000,52
East,Q3,2024,930000,50
East,Q4,2024,1200000,62
West,Q1,2024,720000,38
West,Q2,2024,780000,42
West,Q3,2024,750000,40
West,Q4,2024,980000,52
Central,Q1,2024,680000,35
Central,Q2,2024,740000,38
Central,Q3,2024,710000,36
Central,Q4,2024,920000,48
